Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA,HD.1,BAC,SBUX,BABA
4/22/2015,210.63,219.44,84.63,128.62,42.99,97.84,537.89,389.80,125.71,108.65,127.72,28.62,100.43,41.31,97.28,87.46,109.50,49.57,32.86,112.99,78.43,62.94,53.10,198.32,79.67,2.28,32.70,29.50,117.81,130.25,151.19,112.99,15.74,48.34,82.05
4/23/2015,211.16,218.60,82.41,129.67,43.34,97.00,545.50,389.99,126.28,109.06,128.27,28.68,100.46,40.95,95.73,87.54,109.97,50.05,34.23,113.96,79.18,62.80,53.22,199.31,79.87,2.33,32.35,29.52,118.26,130.57,149.87,113.96,15.69,49.43,82.28
4/24/2015,211.65,218.43,81.53,130.28,47.87,98.74,563.51,445.10,125.86,110.54,129.07,28.82,101.08,40.89,95.17,86.97,109.87,50.03,34.01,113.70,79.84,62.60,52.90,197.99,79.77,2.30,32.08,29.20,118.69,130.66,148.40,113.70,15.64,51.84,84.57
4/27/2015,210.77,231.55,81.91,132.65,48.03,96.44,555.37,438.56,124.47,110.26,129.07,28.89,100.58,40.83,94.49,87.01,109.70,50.08,34.09,111.39,79.37,62.34,52.80,196.52,80.87,2.34,32.50,29.27,116.24,130.25,147.80,111.39,15.56,50.87,84.90
4/28/2015,211.44,230.48,80.68,130.56,49.16,96.83,553.68,429.31,125.16,110.04,127.29,29.32,100.74,40.77,94.42,87.80,111.12,50.55,34.86,110.58,79.10,62.76,53.02,197.49,80.44,2.31,33.02,28.99,117.59,131.71,147.51,110.58,15.65,50.61,85.08
4/29/2015,210.57,232.45,80.47,128.64,49.06,97.02,549.08,429.37,123.80,109.35,125.73,29.05,100.39,40.49,94.38,87.87,111.73,50.47,34.76,108.71,77.88,63.60,53.76,198.56,80.41,2.28,32.89,28.87,113.61,126.68,146.15,108.71,15.98,50.65,82.45
4/30/2015,208.46,226.05,78.77,125.15,48.64,96.55,537.34,421.78,121.18,107.63,125.95,28.83,99.20,40.56,95.12,87.37,111.06,50.44,34.64,106.98,78.05,63.26,53.32,196.42,79.50,2.26,32.55,28.13,111.40,124.64,143.34,106.98,15.93,49.58,81.29
5/1/2015,210.72,226.03,78.99,128.95,48.66,97.80,537.90,422.87,121.97,109.05,124.00,29.13,100.13,40.91,95.56,88.85,109.04,50.41,34.42,109.55,78.60,63.61,53.76,197.53,79.58,2.31,33.42,28.99,113.20,125.49,144.67,109.55,16.11,50.29,81.17
5/4/2015,211.32,230.51,78.81,128.70,48.24,96.13,540.78,423.04,122.41,109.23,122.83,29.17,100.35,40.96,95.95,89.11,108.32,50.52,34.53,110.06,79.18,64.72,54.17,199.30,79.27,2.31,33.43,28.67,114.56,126.73,144.02,110.06,16.44,50.45,80.59
5/5/2015,208.90,232.95,77.56,125.80,47.60,96.13,530.80,421.19,120.85,107.45,122.66,28.89,99.50,40.75,95.42,88.61,108.00,50.09,33.72,108.06,78.13,64.40,53.35,197.29,80.79,2.28,32.64,28.04,113.37,125.25,142.91,108.06,16.35,49.41,79.54
5/6/2015,208.04,230.43,78.10,125.01,46.28,96.39,524.22,419.10,121.27,106.71,120.56,28.97,99.17,40.66,95.48,88.19,107.95,49.64,33.38,108.31,77.65,63.92,52.82,196.25,80.08,2.29,32.22,27.99,113.49,125.29,141.04,108.31,16.29,48.93,80.00
5/7/2015,208.87,236.80,78.43,125.26,46.70,96.78,530.70,426.88,121.73,107.35,122.18,28.81,99.66,40.70,95.15,87.60,107.57,49.73,33.37,110.04,78.03,64.50,53.31,197.39,80.75,2.32,32.24,27.27,114.76,126.49,141.49,110.04,16.24,49.35,86.00
5/8/2015,211.62,236.61,78.51,127.62,47.75,98.23,538.22,433.69,122.64,108.69,122.51,29.23,101.47,40.98,96.55,88.99,108.65,50.14,33.69,112.47,78.53,65.49,54.02,200.50,82.09,2.31,32.80,27.18,115.68,128.49,145.46,112.47,16.45,49.78,87.06
